score, nb_features, nb_neighbours
0.49211, 10, 8
0.49211, 12, 8
0.48095, 15, 8
0.48091, 17, 8
0.48083, 20, 8
0.49474, 10, 9
0.49473, 12, 9
0.48178, 15, 9
0.48178, 17, 9
0.48230, 20, 9
0.49544, 10, 10
0.49543, 12, 10
0.48389, 15, 10
0.48389, 17, 10
0.48419, 20, 10
0.49423, 10, 11
0.49422, 12, 11
0.48312, 15, 11
0.48311, 17, 11
0.48124, 20, 11
0.49440, 10, 12
0.49439, 12, 12
0.48190, 15, 12
0.48196, 17, 12
0.48047, 20, 12
0.49599, 10, 13
0.49598, 12, 13
0.48132, 15, 13
0.48133, 17, 13
0.48029, 20, 13
0.49404, 10, 14
0.49404, 12, 14
0.48085, 15, 14
0.48086, 17, 14
0.47959, 20, 14
0.49100, 10, 15
0.49100, 12, 15
0.47949, 15, 15
0.47952, 17, 15
0.48046, 20, 15
0.49078, 10, 16
0.49078, 12, 16
0.48020, 15, 16
0.48029, 17, 16
0.48163, 20, 16
0.49094, 10, 17
0.49094, 12, 17
0.47965, 15, 17
0.47956, 17, 17
0.48039, 20, 17
0.49252, 10, 18
0.49251, 12, 18
0.48136, 15, 18
0.48136, 17, 18
0.48030, 20, 18
0.49218, 10, 19
0.49218, 12, 19
0.48192, 15, 19
0.48188, 17, 19
0.48016, 20, 19
0.49241, 10, 20
0.49239, 12, 20
0.48087, 15, 20
0.48090, 17, 20
0.47948, 20, 20
