score, nb_features, nb_neighbours
0.48436, 10, 8
0.48724, 12, 8
0.48795, 15, 8
0.48694, 17, 8
0.48168, 20, 8
0.48407, 10, 9
0.48787, 12, 9
0.48966, 15, 9
0.48834, 17, 9
0.48237, 20, 9
0.48447, 10, 10
0.48750, 12, 10
0.48953, 15, 10
0.48807, 17, 10
0.48485, 20, 10
0.48352, 10, 11
0.48837, 12, 11
0.48907, 15, 11
0.48492, 17, 11
0.48245, 20, 11
0.48151, 10, 12
0.48590, 12, 12
0.48871, 15, 12
0.48721, 17, 12
0.48197, 20, 12
0.48260, 10, 13
0.48995, 12, 13
0.49032, 15, 13
0.48623, 17, 13
0.48192, 20, 13
0.48383, 10, 14
0.49005, 12, 14
0.49300, 15, 14
0.48612, 17, 14
0.48292, 20, 14
0.48546, 10, 15
0.49094, 12, 15
0.48972, 15, 15
0.48559, 17, 15
0.48066, 20, 15
0.48462, 10, 16
0.48904, 12, 16
0.48995, 15, 16
0.48660, 17, 16
0.48118, 20, 16
0.48418, 10, 17
0.48900, 12, 17
0.49177, 15, 17
0.48697, 17, 17
0.48099, 20, 17
0.48514, 10, 18
0.48790, 12, 18
0.49179, 15, 18
0.48740, 17, 18
0.47903, 20, 18
0.48568, 10, 19
0.48895, 12, 19
0.49298, 15, 19
0.48623, 17, 19
0.47996, 20, 19
0.48292, 10, 20
0.49098, 12, 20
0.49209, 15, 20
0.48735, 17, 20
0.48013, 20, 20
