score, nb_features, nb_layers, learning_rate
0.41803, 10, 10, constant
0.42744, 10, 10, invscaling
0.40636, 10, 10, adaptive
0.40382, 12, 10, constant
0.42864, 12, 10, invscaling
0.41376, 12, 10, adaptive
0.42018, 15, 10, constant
0.43037, 15, 10, invscaling
0.43267, 15, 10, adaptive
0.41412, 17, 10, constant
0.41967, 17, 10, invscaling
0.40959, 17, 10, adaptive
0.41956, 20, 10, constant
0.42691, 20, 10, invscaling
0.40453, 20, 10, adaptive
0.43730, 10, 12, constant
0.43265, 10, 12, invscaling
0.43011, 10, 12, adaptive
0.43950, 12, 12, constant
0.44189, 12, 12, invscaling
0.43987, 12, 12, adaptive
0.44543, 15, 12, constant
0.45134, 15, 12, invscaling
0.43711, 15, 12, adaptive
0.42787, 17, 12, constant
0.44258, 17, 12, invscaling
0.43732, 17, 12, adaptive
0.44512, 20, 12, constant
0.44028, 20, 12, invscaling
0.44362, 20, 12, adaptive
0.44490, 10, 15, constant
0.44652, 10, 15, invscaling
0.43918, 10, 15, adaptive
0.46143, 12, 15, constant
0.45046, 12, 15, invscaling
0.46049, 12, 15, adaptive
0.45769, 15, 15, constant
0.46576, 15, 15, invscaling
0.45574, 15, 15, adaptive
0.46304, 17, 15, constant
0.45258, 17, 15, invscaling
0.45690, 17, 15, adaptive
0.45778, 20, 15, constant
0.45679, 20, 15, invscaling
0.45941, 20, 15, adaptive
0.45700, 10, 17, constant
0.45616, 10, 17, invscaling
0.45837, 10, 17, adaptive
0.46032, 12, 17, constant
0.46691, 12, 17, invscaling
0.45960, 12, 17, adaptive
0.46425, 15, 17, constant
0.46689, 15, 17, invscaling
0.46680, 15, 17, adaptive
0.46396, 17, 17, constant
0.46586, 17, 17, invscaling
0.46556, 17, 17, adaptive
0.46472, 20, 17, constant
0.46677, 20, 17, invscaling
0.46551, 20, 17, adaptive
0.46790, 10, (10,10), constant
0.46658, 10, (10,10), invscaling
0.46641, 10, (10,10), adaptive
0.47387, 12, (10,10), constant
0.47309, 12, (10,10), invscaling
0.47274, 12, (10,10), adaptive
0.47718, 15, (10,10), constant
0.47618, 15, (10,10), invscaling
0.47657, 15, (10,10), adaptive
0.47715, 17, (10,10), constant
0.47576, 17, (10,10), invscaling
0.47837, 17, (10,10), adaptive
0.47406, 20, (10,10), constant
0.47665, 20, (10,10), invscaling
0.47712, 20, (10,10), adaptive
0.46789, 10, (12,12), constant
0.46584, 10, (12,12), invscaling
0.46802, 10, (12,12), adaptive
0.47285, 12, (12,12), constant
0.47259, 12, (12,12), invscaling
0.47211, 12, (12,12), adaptive
0.47752, 15, (12,12), constant
0.47745, 15, (12,12), invscaling
0.47563, 15, (12,12), adaptive
0.47637, 17, (12,12), constant
0.47485, 17, (12,12), invscaling
0.47545, 17, (12,12), adaptive
0.47633, 20, (12,12), constant
0.47568, 20, (12,12), invscaling
0.47750, 20, (12,12), adaptive
0.46770, 10, (15,15), constant
0.46560, 10, (15,15), invscaling
0.46673, 10, (15,15), adaptive
0.47353, 12, (15,15), constant
0.47274, 12, (15,15), invscaling
0.47355, 12, (15,15), adaptive
0.47635, 15, (15,15), constant
0.47664, 15, (15,15), invscaling
0.47583, 15, (15,15), adaptive
0.47524, 17, (15,15), constant
0.47478, 17, (15,15), invscaling
0.47724, 17, (15,15), adaptive
0.47534, 20, (15,15), constant
0.47564, 20, (15,15), invscaling
0.47522, 20, (15,15), adaptive
0.46628, 10, (17,17), constant
0.46672, 10, (17,17), invscaling
0.46641, 10, (17,17), adaptive
0.47395, 12, (17,17), constant
0.47353, 12, (17,17), invscaling
0.47457, 12, (17,17), adaptive
0.47579, 15, (17,17), constant
0.47580, 15, (17,17), invscaling
0.47470, 15, (17,17), adaptive
0.47484, 17, (17,17), constant
0.47519, 17, (17,17), invscaling
0.47647, 17, (17,17), adaptive
0.47614, 20, (17,17), constant
0.47619, 20, (17,17), invscaling
0.47684, 20, (17,17), adaptive
