score, nb_features, nb_neighbours
0.47711, 10, 8
0.47711, 12, 8
0.47711, 15, 8
0.47711, 17, 8
0.47711, 20, 8
0.47711, 10, 9
0.47711, 12, 9
0.47711, 15, 9
0.47711, 17, 9
0.47711, 20, 9
0.47711, 10, 10
0.47711, 12, 10
0.47711, 15, 10
0.47711, 17, 10
0.47711, 20, 10
0.47711, 10, 11
0.47711, 12, 11
0.47711, 15, 11
0.47711, 17, 11
0.47711, 20, 11
0.47711, 10, 12
0.47711, 12, 12
0.47711, 15, 12
0.47711, 17, 12
0.47711, 20, 12
0.47711, 10, 13
0.47711, 12, 13
0.47711, 15, 13
0.47711, 17, 13
0.47711, 20, 13
0.47711, 10, 14
0.47711, 12, 14
0.47711, 15, 14
0.47711, 17, 14
0.47711, 20, 14
0.47711, 10, 15
0.47711, 12, 15
0.47711, 15, 15
0.47711, 17, 15
0.47711, 20, 15
0.47711, 10, 16
0.47711, 12, 16
0.47711, 15, 16
0.47711, 17, 16
0.47711, 20, 16
0.47711, 10, 17
0.47711, 12, 17
0.47711, 15, 17
0.47711, 17, 17
0.47711, 20, 17
0.47711, 10, 18
0.47711, 12, 18
0.47711, 15, 18
0.47711, 17, 18
0.47711, 20, 18
0.47711, 10, 19
0.47711, 12, 19
0.47711, 15, 19
0.47711, 17, 19
0.47711, 20, 19
0.47711, 10, 20
0.47711, 12, 20
0.47711, 15, 20
0.47711, 17, 20
0.47711, 20, 20
